step,max_kl,lr,steps,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
49,0.01,0.001,600,-1.40281,-84.4757,-80.4092,4.01464,0.888273,0.0551591,701.883,-9.94095,-9.99064,0,0.00819888,1.05924,9.18363,847.015
50,0.01,0.001,600,-0.238468,-40.1141,-25.3271,14.7758,0.37173,0.0530438,69.5956,-15.0851,-15.1182,0,0.00805928,1.02967,8.13842,858.637
51,0.01,0.001,600,-0.359811,-34.7155,-26.6936,8.00186,0.772751,0.05603,283.511,-5.20476,-5.24267,0,0.00767593,1.02103,8.83261,871.155
52,0.01,0.001,600,-1.02062,-38.6803,-42.9699,-4.2938,0.646304,0.058192,327.965,-3.2362,-3.27168,0,0.0074719,1.02216,8.39987,883.172
53,0.01,0.001,600,-0.46548,-26.6332,-24.0725,2.55379,0.733728,0.0546882,327.773,-0.880129,-0.911734,0,0.00727782,1.02505,8.85345,896.213
54,0.01,0.001,600,-0.362565,-27.545,-22.6194,4.91762,0.767537,0.0519085,85.7667,-4.88308,-4.9055,0,0.00834581,0.990328,8.58549,908.415
55,0.01,0.001,600,-0.224192,-17.0972,-12.6807,4.41445,0.799991,0.0497108,8.35618,-4.39004,-4.40483,0,0.00769147,0.985864,8.03777,920.038
56,0.01,0.001,600,-0.238945,-12.9983,-10.8891,2.10962,0.921683,0.0567791,6.97429,-2.07802,-2.08829,0,0.00710993,1.00458,8.02536,931.756
57,0.01,0.001,600,-0.244864,-11.0931,-9.94116,1.15203,0.948285,0.0500302,5.873,-1.04381,-1.05203,0,0.00703929,1.0205,8.16468,943.382
58,0.01,0.001,600,-0.242428,-10.0364,-9.34677,0.689151,0.950724,0.0512655,4.81618,-0.666735,-0.672916,0,0.00692957,1.04549,8.07725,955.468
59,0.01,0.001,600,-0.27579,-10.6495,-10.8517,-0.203951,0.93065,0.058229,4.52569,-0.271711,-0.278272,0,0.00738287,1.06168,8.22464,967.235
60,0.01,0.001,600,-0.235077,-8.94314,-8.68845,0.253225,0.963127,0.0524292,3.73148,-0.194801,-0.19965,0,0.00804243,1.04076,8.01063,978.626
61,0.01,0.001,600,-0.238199,-8.73686,-8.69776,0.0388205,0.971997,0.0520883,2.71456,-0.0320747,-0.0364999,0,0.0075652,1.06251,7.89596,990.11
62,0.01,0.001,600,-0.247516,-8.92321,-9.12682,-0.203683,0.969101,0.0518632,2.96173,0.188157,0.184189,0,0.007094,1.07087,8.571,1002.44
63,0.01,0.001,600,-0.253626,-8.95799,-9.14573,-0.18702,0.976154,0.0629976,2.52043,0.206991,0.203488,0,0.0084152,1.03342,8.2669,1014.2
64,0.01,0.001,600,-0.234512,-9.11303,-8.79408,0.318037,0.97653,0.0562551,2.10986,-0.31522,-0.318343,0,0.008372,1.03614,7.98777,1025.63
65,0.01,0.001,600,-0.243336,-8.7512,-8.80614,-0.0551597,0.977312,0.0552948,2.22731,0.0547779,0.0515313,0,0.006955,1.04504,8.30029,1037.68
66,0.01,0.001,600,-0.227481,-8.72464,-8.30968,0.414043,0.978672,0.0557187,1.98513,-0.380576,-0.384483,0,0.00880422,1.04283,8.01244,1048.97
67,0.01,0.001,600,-0.228837,-8.43135,-8.33952,0.0907,0.97497,0.0556855,2.40034,-0.0849156,-0.0932229,0,0.00672129,1.04172,8.41267,1060.96
68,0.01,0.001,600,-0.243185,-8.60757,-8.73098,-0.124391,0.980734,0.0521538,1.93287,0.138802,0.134644,0,0.00730115,1.08156,8.11916,1072.76
